id,front,left_side,right_side,type
0,/acne/0.jpg,/acne/0.jpg,/acne/0.jpg,acne
1,/acne/1.jpg,/acne/1.jpg,/acne/1.jpg,acne
2,/acne/2.jpg,/acne/2.jpg,/acne/2.jpg,acne
3,/acne/3.jpg,/acne/3.jpg,/acne/3.jpg,acne
4,/acne/4.jpg,/acne/4.jpg,/acne/4.jpg,acne
5,/acne/5.jpg,/acne/5.jpg,/acne/5.jpg,acne
6,/acne/6.jpg,/acne/6.jpg,/acne/6.jpg,acne
7,/acne/7.jpg,/acne/7.jpg,/acne/7.jpg,acne
8,/acne/8.jpg,/acne/8.jpg,/acne/8.jpg,acne
9,/acne/9.jpg,/acne/9.jpg,/acne/9.jpg,acne
10,/bags/10.jpeg,/bags/10.jpeg,/bags/10.jpeg,bags
11,/bags/11.jpg,/bags/11.jpg,/bags/11.jpg,bags
12,/bags/12.jpg,/bags/12.jpg,/bags/12.jpg,bags
13,/bags/13.jpg,/bags/13.jpg,/bags/13.jpg,bags
14,/bags/14.jpg,/bags/14.jpg,/bags/14.jpg,bags
15,/bags/15.jpg,/bags/15.jpg,/bags/15.jpg,bags
16,/bags/16.jpg,/bags/16.jpg,/bags/16.jpg,bags
17,/bags/17.jpg,/bags/17.jpg,/bags/17.jpg,bags
18,/bags/18.jpg,/bags/18.jpg,/bags/18.jpg,bags
19,/bags/19.jpg,/bags/19.jpg,/bags/19.jpg,bags
20,/redness/20.jpg,/redness/20.jpg,/redness/20.jpg,redness
21,/redness/21.jpg,/redness/21.jpg,/redness/21.jpg,redness
22,/redness/22.jpg,/redness/22.jpg,/redness/22.jpg,redness
23,/redness/23.jpg,/redness/23.jpg,/redness/23.jpg,redness
24,/redness/24.jpg,/redness/24.jpg,/redness/24.jpg,redness
25,/redness/25.jpg,/redness/25.jpg,/redness/25.jpg,redness
26,/redness/26.jpg,/redness/26.jpg,/redness/26.jpg,redness
27,/redness/27.jpg,/redness/27.jpg,/redness/27.jpg,redness
28,/redness/28.jpg,/redness/28.jpg,/redness/28.jpg,redness
29,/redness/29.jpg,/redness/29.jpg,/redness/29.jpg,redness
30,/healthy_skin/30.jpg,/healthy_skin/30.jpg,/healthy_skin/30.jpg,healthy_skin
31,/healthy_skin/31.jpg,/healthy_skin/31.jpg,/healthy_skin/31.jpg,healthy_skin
32,/healthy_skin/32.jpg,/healthy_skin/32.jpg,/healthy_skin/32.jpg,healthy_skin
33,/healthy_skin/33.jpg,/healthy_skin/33.jpg,/healthy_skin/33.jpg,healthy_skin
34,/healthy_skin/34.jpg,/healthy_skin/34.jpg,/healthy_skin/34.jpg,healthy_skin
35,/healthy_skin/35.jpg,/healthy_skin/35.jpg,/healthy_skin/35.jpg,healthy_skin
36,/healthy_skin/36.jpg,/healthy_skin/36.jpg,/healthy_skin/36.jpg,healthy_skin
37,/healthy_skin/37.jpg,/healthy_skin/37.jpg,/healthy_skin/37.jpg,healthy_skin
38,/healthy_skin/38.jpg,/healthy_skin/38.jpg,/healthy_skin/38.jpg,healthy_skin
39,/healthy_skin/39.jpg,/healthy_skin/39.jpg,/healthy_skin/39.jpg,healthy_skin
40,/healthy_skin/40.jpg,/healthy_skin/40.jpg,/healthy_skin/40.jpg,healthy_skin
41,/pimple/41.jpg,/pimple/41.jpg,/pimple/41.jpg,pimple
42,/pimple/42.jpg,/pimple/42.jpg,/pimple/42.jpg,pimple
43,/pimple/43.jpg,/pimple/43.jpg,/pimple/43.jpg,pimple
44,/pimple/44.jpg,/pimple/44.jpg,/pimple/44.jpg,pimple
45,/pimple/45.jpg,/pimple/45.jpg,/pimple/45.jpg,pimple
46,/pimple/46.jpg,/pimple/46.jpg,/pimple/46.jpg,pimple
47,/pimple/47.jpg,/pimple/47.jpg,/pimple/47.jpg,pimple
48,/pimple/48.jpg,/pimple/48.jpg,/pimple/48.jpg,pimple
49,/pimple/49.jpg,/pimple/49.jpg,/pimple/49.jpg,pimple
50,/pimple/50.jpg,/pimple/50.jpg,/pimple/50.jpg,pimple
